DR2Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,prob0,probs_final
Gaia DR2 5289913207611441024,0.754628,-0.884441,121.10487423422,-61.62859470064,2.4343,0.0155,-5.16,0.03,12.129,0.03,13.358510110814743,0.001962485386986675,1.0106203434424756,0.004063123710357536,1.0,1.0
Gaia DR2 5289913241971178112,0.736697,-0.884832,121.06716979877,-61.6294155795,2.4304,0.1051,-4.681,0.212,10.865,0.215,17.35231593794104,0.0020443766036814127,2.355138859382105,0.014754375406666437,1.0,1.0
Gaia DR2 5289914478921674880,0.73218,-0.826353,121.05476859064,-61.5710605659,2.3956,0.0202,-5.079,0.048,12.258,0.037,13.97597258537453,0.0019397399768334561,1.200678844347749,0.005113681635130622,1.0,1.0
Gaia DR2 5289916604925715712,0.835666,-0.74488,121.26747525943,-61.48701873398,2.3551,0.0667,-5.685,0.166,10.888,0.115,17.001293784935996,0.0021792879097695715,2.205082833137972,0.010842769834241098,1.0,1.0
Gaia DR2 5289916952822778880,0.822544,-0.702565,121.23766284411,-61.44506780832,2.4116,0.023,-4.727,0.053,10.723,0.039,12.696578193441786,0.002018732612298062,0.8819948462847425,0.003881746628688959,1.0,1.0
Gaia DR2 5289917566997813888,0.507821,-1.003598,120.58968819358,-61.75274127442,2.7067,0.1872,-5.951,0.431,12.257,0.562,18.437386573151255,0.0024700900409881407,2.8019074004318227,0.043605284287932096,1.0,1.0
Gaia DR2 5289917605657936896,0.522431,-0.979461,120.61969056737,-61.72836523028,2.4144,0.0735,-4.809,0.167,10.808,0.183,17.241179398180723,0.002269373797416755,2.3190913870927794,0.022816048571612634,1.0,1.0
Gaia DR2 5289917601357557248,0.519872,-0.982907,120.61441160768,-61.73185367055,2.2985,0.12,-4.577,0.293,11.371,0.315,17.908228718851117,0.002254915554382283,2.8470373367373405,0.03854375247923702,1.0,1.0
Gaia DR2 5289917910595209216,0.490461,-0.958314,120.55149832007,-61.70774329373,2.495,0.0849,-4.9,0.209,10.533,0.207,17.41400530719901,0.002227609890777355,2.5527755341095997,0.017726359401956996,1.0,1.0
Gaia DR2 5289921380929319168,0.603117,-0.7797,120.78182853827,-61.52718141695,2.3798,0.0758,-5.112,0.166,10.937,0.168,17.236244467534448,0.0021296121817062125,2.3024718197909166,0.017154676353584707,1.0,1.0
Gaia DR2 5289922244222397440,0.453773,-0.877342,120.47160462684,-61.62733942602,2.1749,0.0781,-4.213,0.217,10.834,0.187,17.421587044962827,0.002177020416408021,2.297704165375791,0.015000094517423294,1.0,1.0
Gaia DR2 5289922244222398336,0.458353,-0.870635,120.48103339745,-61.62056598012,2.4342,0.0791,-5.504,0.195,11.322,0.187,11.601451354635124,0.0018247408528026228,0.7563824650744486,0.002689124595669019,1.0,1.0
Gaia DR2 5289924099648208384,0.491923,-0.75148,120.54769400938,-61.50091466785,2.3726,0.0456,-4.785,0.104,11.195,0.105,16.321911795205498,0.0022309603844944776,1.9125506313083598,0.009167157997475469,1.0,1.0
Gaia DR2 5289926401750888064,0.70285,-0.802501,120.9920464746,-61.54789041667,2.1981,0.0232,-6.54,0.051,11.316,0.039,13.849023607625135,0.0018163562485306363,1.1644011008692345,0.002750217501743954,1.0,1.0
Gaia DR2 5289926534890077440,0.732269,-0.781705,121.05275086983,-61.52642499218,2.3322,0.087,-5.157,0.205,10.851,0.207,17.052660210400564,0.0024356229355741023,,,1.0,1.0
Gaia DR2 5289926573549512064,0.709825,-0.77759,121.00549150751,-61.52282925339,2.4776,0.0208,-5.259,0.045,11.251,0.036,14.17699793068443,0.0018308187844350327,1.183684416532861,0.003045323770798442,1.0,1.0
Gaia DR2 5289926676628726400,0.693962,-0.779944,120.97234189306,-61.52553884262,2.4918,0.0203,-5.076,0.046,11.293,0.037,13.671746244059186,0.001831048304565639,1.0811216282747207,0.003001075271758004,1.0,1.0
Gaia DR2 5289929700285647488,0.77605,-0.658975,121.1381659274,-61.40267902749,2.5176,0.0799,-5.536,0.205,11.487,0.168,16.96945823395736,0.0026280639542303167,2.245989611862983,0.012578950246461652,1.0,1.0
Gaia DR2 5289930181318610432,0.778027,-0.601117,121.13929660975,-61.34479131355,2.3885,0.0396,-5.996,0.08,11.286,0.064,10.76495341935587,0.0018367035335501904,0.41164606838687945,0.0027156763549969778,1.0,1.0
